fault_desc,fault_type,id,solution
Excel筛选功能失效，点击筛选按钮后没反应，其他表格正常,软件类,92,1. 尝试其他PDF阅读器：使用其他PDF阅读器（如Adobe Acrobat）打开文件\n2. 修复PDF文件：使用福昕阅读器的“修复PDF”功能尝试修复文件\n3. 重新下载PDF：如果是从网络下载的，尝试重新下载
企业微信消息发送失败，提示“消息已发出但被对方拒收”，但对方并未拉黑,软件类,93,1. 检查网络连接：确保网络连接正常，尝试重新下载图片\n2. 检查文件权限：确保有足够的权限访问企业微信文件\n3. 清除企业微信缓存：在企业微信设置中清除缓存数据
Chrome浏览器打开某些网站时提示“ERR_CONNECTION_RESET”，换浏览器能打开,软件类,94,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 禁用扩展程序：Chrome→菜单→更多工具→扩展程序，禁用所有扩展并逐个启用排查\n3. 重置Chrome：Chrome→设置→高级→重置设置→还原设置
PPT插入的音频无法播放，提示“找不到音频设备”，但电脑播放音乐正常,软件类,95,1. 检查数据源：确保数据透视表的数据源未被移动或删除\n2. 刷新数据透视表：右键数据透视表→刷新\n3. 重新创建数据透视表：如果问题依旧，删除数据透视表，重新从数据源创建
钉钉直播时共享屏幕没声音，麦克风正常，已勾选“共享系统声音”,软件类,96,1. 检查共享设置：在钉钉直播中确认已勾选“共享系统声音”\n2. 更新声卡驱动：通过设备管理器更新声卡驱动\n3. 尝试其他共享方式：使用系统自带的屏幕共享功能或其他第三方工具
AutoCAD保存文件时提示“文件被锁定”，但没有其他用户打开该文件,软件类,97,1. 清理暂存盘：Photoshop→首选项→性能→暂存盘，选择空间充足的磁盘\n2. 更新Photoshop：确保Photoshop已更新到最新版本\n3. 尝试其他保存格式：将文件保存为PSD等其他格式
Outlook发送带附件的邮件时卡住，附件大小只有5MB，未超过限制,软件类,98,1. 调整CAD图纸比例：在Visio中调整CAD图纸的比例，使其适应页面\n2. 更新Visio：确保Visio已更新到最新版本\n3. 转换CAD文件格式：将CAD文件转换为DWG等Visio更兼容的格式
Python使用pandas读取Excel时提示“XLRDError: Excel xlsx file; not supported”,软件类,99,1. 优化代码：使用生成器（yield）代替列表存储大量数据\n2. 增加物理内存：如果经常出现此问题，考虑增加内存条\n3. 分块处理数据：使用pandas的chunksize参数分块读取和处理数据
三星打印机显示“墨粉不足”，但刚更换新的墨粉盒,硬件类,100,1. 重置打印机：按住打印机的电源按钮10秒，重置打印机\n2. 更新打印机驱动：到三星官网下载对应型号的最新驱动程序\n3. 检查墨粉盒安装：确保墨粉盒已正确安装，且密封带已完全撕掉
佳能扫描仪无法识别PDF格式，扫描后只能保存为JPG，设置里有PDF选项,硬件类,101,1. 检查扫描软件设置：在扫描软件中确认已选择PDF格式\n2. 更新扫描仪驱动：到佳能官网下载对应型号的最新驱动程序\n3. 尝试其他扫描软件：使用其他扫描软件（如Windows传真和扫描）测试
笔记本摄像头在拍照时正常，但录制视频时画面卡顿，帧率极低,硬件类,102,1. 更新摄像头驱动：通过设备管理器更新摄像头驱动\n2. 检查视频设置：在Zoom中调整视频设置，降低分辨率和帧率\n3. 检查系统资源：关闭其他占用系统资源的程序
显示器在开机10分钟后自动黑屏，电源灯亮着，重启显示器后恢复,硬件类,103,1. 检查显示器电源：确保显示器已接通电源，且电源指示灯亮起\n2. 检查连接线：检查显示器与电脑的连接线是否牢固，尝试重新插拔\n3. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动
有线键盘在电脑开机时能用，进入系统后突然失灵，设备管理器无异常,硬件类,104,1. 检查键盘连接：确保键盘USB接口已正确插入电脑\n2. 尝试其他USB端口：将键盘插入其他USB端口测试\n3. 更新键盘驱动：通过设备管理器更新键盘驱动
鼠标滚轮上下滚动时，页面会左右移动，设置里已勾选“垂直滚动”,硬件类,105,1. 检查鼠标设置：在系统鼠标设置中调整滚轮方向和速度\n2. 更新鼠标驱动：通过设备管理器更新鼠标驱动\n3. 清洁鼠标滚轮：使用压缩空气罐或小刷子清理鼠标滚轮
打印机打印多页文件时，第3页开始内容错位，纸张放置正确,硬件类,106,1. 检查打印机设置：在打印首选项中调整纸张类型和质量设置\n2. 清洁打印头：在打印机控制面板中选择“清洁打印头”选项\n3. 更换墨盒：如果问题依旧，更换新的墨盒
扫描仪扫描厚纸（如名片）时提示“卡纸”，薄纸扫描正常,硬件类,107,1. 调整扫描仪设置：在扫描软件中调整纸张类型为厚纸\n2. 清洁扫描仪进纸通道：使用干净的软布擦拭扫描仪进纸通道\n3. 手动送纸：对于厚纸，尝试使用手动送纸功能
笔记本电脑插电使用时屏幕闪烁，用电池时正常，排除电源适配器问题,硬件类,108,1. 检查电源适配器：确保使用的是原装电源适配器，且输出电压和电流符合电脑要求\n2. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n3. 调整屏幕刷新率：右键桌面→显示设置→高级显示设置→刷新率，选择合适的刷新率
SD卡插入读卡器后，电脑能识别但无法打开，提示“请插入磁盘”,硬件类,109,1. 尝试其他读卡器：将SD卡插入其他读卡器测试\n2. 检查SD卡格式：使用DiskGenius等工具检查SD卡是否损坏\n3. 格式化SD卡：如果数据已备份，可尝试格式化SD卡恢复
内网电脑能访问服务器，但无法访问互联网，DNS设置正确,网络类,110,1. 检查防火墙设置：确保防火墙允许浏览器通过\n2. 检查DNS设置：右键网络连接→属性→Internet协议版本4(TCP/IPv4)→属性→使用下面的DNS服务器地址，设置为8.8.8.8和8.8.4.4\n3. 重置网络设置：按Win+R输入cmd，在命令提示符中输入netsh winsock reset和netsh int ip reset
VPN连接后能访问部分内网资源，无法访问OA系统，同事可以访问,网络类,111,1. 检查VPN服务器状态：联系VPN管理员确认服务器是否正常运行\n2. 检查VPN配置：确认VPN连接配置（服务器地址、端口、认证方式等）是否正确\n3. 尝试其他VPN协议：在VPN客户端中尝试使用其他协议（如OpenVPN、L2TP等）
公司WiFi连接后显示“受限”，IP地址为自动获取，手动设置IP后正常,网络类,112,1. 检查DHCP服务：确认路由器的DHCP服务是否正常工作\n2. 手动设置IP地址：在网络适配器属性中手动设置IP地址、子网掩码和默认网关\n3. 重启路由器：关闭路由器电源，等待30秒后重新开启
远程桌面连接成功后，操作时频繁卡顿，ping值显示正常（<50ms）,网络类,113,1. 检查远程桌面连接设置：确认服务器的远程桌面服务已启用，且端口（默认3389）已开放\n2. 增加带宽：联系网络服务提供商升级网络带宽\n3. 优化网络环境：关闭同一网络中其他占用带宽的设备
共享文件夹里的文件无法删除，提示“该文件正在被另一用户使用”，但无人打开,网络类,114,1. 检查文件权限：右键共享文件夹→属性→安全，确保当前用户具有删除权限\n2. 结束占用进程：按Ctrl+Shift+Esc打开任务管理器，结束占用该文件的进程\n3. 重启电脑：重启电脑后再次尝试删除文件
WiFi信号满格但网速只有100kb/s，测试其他设备连接同一WiFi网速正常,网络类,115,1. 检查WiFi信道：登录路由器管理页面，更改WiFi信道（如从6改为1或11）\n2. 重启路由器：关闭路由器电源，等待30秒后重新开启\n3. 检查设备驱动：更新无线网卡驱动程序
VPN登录成功后，电脑无法访问本地局域网，断开VPN后恢复,网络类,116,1. 检查VPN路由设置：联系VPN管理员确认VPN的路由配置是否正确\n2. 检查本地网络连接：确保本地网络连接正常\n3. 尝试其他VPN服务器：连接其他VPN服务器测试是否能访问局域网
连接投影仪后，电脑分辨率变低，调回原来的分辨率后投影仪显示不全,硬件类,117,1. 调整投影仪分辨率：在投影仪菜单中调整分辨率为电脑支持的分辨率\n2. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n3. 使用缩放功能：在电脑显示设置中调整缩放比例，使内容适应投影仪
打印机打印彩色文件时，红色显示为粉色，其他颜色正常，校准墨盒无效,硬件类,118,1. 清洁打印头：在打印机控制面板中选择“清洁打印头”选项\n2. 校准墨盒：在打印机控制面板中选择“校准墨盒”选项\n3. 更换墨盒：如果问题依旧，更换新的墨盒
Windows 11右键菜单反应慢，点击后要3-5秒才弹出，重启后暂时正常,系统类,119,1. 更新系统：确保系统已更新到最新版本\n2. 关闭不必要的启动项：按Win+R输入msconfig，在“启动”选项卡中禁用不必要的启动项\n3. 检查系统文件：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件
MacBook Air在使用外接键盘时，偶尔会自动输入重复字符（如连续输入“ssss”）,系统类,120,1. 重置键盘驱动：右键此电脑→管理→设备管理器→键盘，右键键盘设备→卸载设备，然后扫描检测硬件改动\n2. 更新系统：确保系统已更新到最新版本\n3. 检查外接键盘：如果使用外接键盘，尝试更换其他键盘
电脑开机提示“CPU风扇错误”，打开机箱检查风扇在转，清理灰尘后依然提示,系统类,121,1. 清洁CPU风扇：打开机箱，使用压缩空气罐或小刷子清理CPU风扇和散热片上的灰尘\n2. 检查风扇连接：确保CPU风扇已正确连接到主板\n3. 更新BIOS：到电脑制造商官网下载并更新最新版本的BIOS
Windows更新后，蓝牙功能消失，设备管理器里找不到蓝牙适配器,系统类,122,1. 重新安装蓝牙驱动：右键此电脑→管理→设备管理器→蓝牙，右键蓝牙设备→卸载设备，然后扫描检测硬件改动\n2. 更新系统：确保系统已更新到最新版本\n3. 检查BIOS设置：进入BIOS确认蓝牙已启用
Mac系统“照片”应用导入手机照片时，提示“无法读取文件”，手机照片正常,系统类,123,1. 检查手机照片格式：确保手机照片格式为Mac支持的格式（如JPG、PNG）\n2. 更新“照片”应用：确保“照片”应用已更新到最新版本\n3. 使用其他导入方式：尝试使用Image Capture等其他应用导入照片
电脑提示“应用程序无法正常启动(0xc000007b)”，重新安装该程序无效,系统类,124,1. 重新安装应用程序：卸载并重新安装该应用程序\n2. 检查系统依赖：确保系统已安装该应用程序所需的运行库（如Visual C++ Redistributable）\n3. 系统还原：尝试将系统还原到之前正常的时间点
开机后系统时间自动变回2020年，更换CMOS电池后依然如此,系统类,125,1. 更换CMOS电池：打开机箱，找到主板上的圆形CMOS电池，更换为相同型号的新电池\n2. 检查BIOS设置：进入BIOS确认系统时间设置正确\n3. 检查主板：如果更换电池后问题依旧，可能是主板电路故障，需联系维修
Windows Defender防火墙无法启动，服务里显示“已停止”，启动时提示错误,系统类,126,1. 检查服务状态：按Win+R输入services.msc，找到Windows Defender Firewall服务，右键→属性→启动类型→自动，然后点击启动\n2. 系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n3. 重置服务：按Win+R输入cmd，在命令提示符中输入netsh advfirewall reset重置防火墙设置
笔记本电脑在运行时突然黑屏，电源灯亮着，强制关机后无法重启,系统类,127,1. 检查电源适配器：确保电源适配器连接牢固，且输出电压和电流符合电脑要求\n2. 检查电池状态：如果使用电池，检查电池是否需要充电或更换\n3. 硬件检测：使用电脑自带的硬件检测工具（如HP PC Hardware Diagnostics）检查硬件问题
Mac系统升级后，部分应用（如微信）无法打开，提示“需要更新才能使用”,系统类,128,1. 重新安装应用：卸载应用后，从官方渠道重新安装最新版本\n2. 更新系统：确保系统已更新到最新版本\n3. 检查磁盘空间：确保启动磁盘有足够的空间（建议至少10GB以上）
Word文档在编辑时突然自动关闭，再次打开后提示“文档已损坏，无法修复”,软件类,129,1. 尝试恢复文件：在Word中点击“文件”→“信息”→“管理文档”→“恢复未保存的文档”\n2. 使用文件恢复软件：如果Word没有自动保存，可使用Recuva等文件恢复软件尝试恢复\n3. 定期保存文档：在Word选项中设置更短的自动保存时间间隔
PPT插入的图表无法更新数据，提示“链接已断开”，重新链接数据源无效,软件类,130,1. 检查数据源连接：右键图表→数据源，确认数据源路径是否正确\n2. 更新链接：右键图表→更新数据链接\n3. 重新创建图表：如果链接无法修复，删除图表，重新从数据源创建图表
PDF文件用Foxit打开时文字乱码，用Adobe打开正常，字体已安装齐全,软件类,131,1. 安装缺失字体：下载并安装缺失的字体文件\n2. 转换PDF格式：使用Adobe Acrobat将PDF转换为其他格式（如Word）\n3. 尝试其他PDF阅读器：使用其他PDF阅读器（如Adobe Acrobat）打开文件
企业微信接收的图片无法显示，只显示灰色方块，重新下载也没用,软件类,132,1. 检查网络连接：确保网络连接正常，尝试重新下载图片\n2. 检查文件权限：确保有足够的权限访问企业微信文件\n3. 清除企业微信缓存：在企业微信设置中清除缓存数据
Chrome浏览器打开某些网站时，页面显示错乱，其他浏览器正常,软件类,133,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 禁用扩展程序：Chrome→菜单→更多工具→扩展程序，禁用所有扩展并逐个启用排查\n3. 重置Chrome：Chrome→设置→高级→重置设置→还原设置
Excel数据透视表刷新时提示“引用无效”，数据源未被移动或删除,软件类,134,1. 检查数据源：确保数据透视表的数据源未被移动或删除\n2. 刷新数据透视表：右键数据透视表→刷新\n3. 重新创建数据透视表：如果问题依旧，删除数据透视表，重新从数据源创建
钉钉直播时共享屏幕，观众看到的画面是静止的，自己这边显示正常,软件类,135,1. 检查共享设置：在钉钉直播中确认已勾选共享系统声音\n2. 更新声卡驱动：通过设备管理器更新声卡驱动\n3. 尝试其他共享方式：使用系统自带的屏幕共享功能或其他第三方工具
Photoshop保存为JPG格式时，提示“无法完成请求，因为程序错误”,软件类,136,1. 清理暂存盘：Photoshop→首选项→性能→暂存盘，选择空间充足的磁盘\n2. 更新Photoshop：确保Photoshop已更新到最新版本\n3. 尝试其他保存格式：将文件保存为PSD等其他格式
Visio插入的CAD图纸显示不全，只能看到部分内容，CAD文件完整,软件类,137,1. 调整CAD图纸比例：在Visio中调整CAD图纸的比例，使其适应页面\n
Python使用pandas处理大数据时，提示“MemoryError”，电脑内存16GB,软件类,138,"1. 分块读取数据：使用 pandas 的 chunksize 参数分块读取数据，这样每次只加载部分数据到内存中进行处理\n2. 释放内存：在处理过程中及时释放不再使用的变量占用的内存，使用 del 关键字删除变量，如 del variable_name，之后 Python 的垃圾回收机制会回收这些内存\n3. 优化数据类型：检查数据列的数据类型，将不必要的高精度数据类型转换为低精度类型以减少内存占用\n
"
