fault_type,solution
系统类,1. 检查手机照片格式：确保手机照片格式为Mac支持的格式（如JPG、PNG）\n2. 更新“照片”应用：确保“照片”应用已更新到最新版本\n3. 使用其他导入方式：尝试使用Image Capture等其他应用导入照片
系统类,1. 重新安装应用程序：卸载并重新安装该应用程序\n2. 检查系统依赖：确保系统已安装该应用程序所需的运行库（如Visual C++ Redistributable）\n3. 系统还原：尝试将系统还原到之前正常的时间点
系统类,1. 更换CMOS电池：打开机箱，找到主板上的圆形CMOS电池，更换为相同型号的新电池\n2. 检查BIOS设置：进入BIOS确认系统时间设置正确\n3. 检查主板：如果更换电池后问题依旧，可能是主板电路故障，需联系维修
系统类,1. 检查服务状态：按Win+R输入services.msc，找到Windows Defender Firewall服务，右键→属性→启动类型→自动，然后点击启动\n2. 系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n3. 重置服务：按Win+R输入cmd，在命令提示符中输入netsh advfirewall reset重置防火墙设置
系统类,1. 检查电源适配器：确保电源适配器连接牢固，且输出电压和电流符合电脑要求\n2. 检查电池状态：如果使用电池，检查电池是否需要充电或更换\n3. 硬件检测：使用电脑自带的硬件检测工具（如HP PC Hardware Diagnostics）检查硬件问题
系统类,1. 重新安装应用：卸载应用后，从官方渠道重新安装最新版本\n2. 更新系统：确保系统已更新到最新版本\n3. 检查磁盘空间：确保启动磁盘有足够的空间（建议至少10GB以上）
软件类,1. 尝试恢复文件：在Word中点击“文件”→“信息”→“管理文档”→“恢复未保存的文档”\n2. 使用文件恢复软件：如果Word没有自动保存，可使用Recuva等文件恢复软件尝试恢复\n3. 定期保存文档：在Word选项中设置更短的自动保存时间间隔
软件类,1. 检查数据源连接：右键图表→数据源，确认数据源路径是否正确\n2. 更新链接：右键图表→更新数据链接\n3. 重新创建图表：如果链接无法修复，删除图表，重新从数据源创建图表
软件类,1. 安装缺失字体：下载并安装缺失的字体文件\n2. 转换PDF格式：使用Adobe Acrobat将PDF转换为其他格式（如Word）\n3. 尝试其他PDF阅读器：使用其他PDF阅读器（如Adobe Acrobat）打开文件
软件类,1. 检查网络连接：确保网络连接正常，尝试重新下载图片\n2. 检查文件权限：确保有足够的权限访问企业微信文件\n3. 清除企业微信缓存：在企业微信设置中清除缓存数据
软件类,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 禁用扩展程序：Chrome→菜单→更多工具→扩展程序，禁用所有扩展并逐个启用排查\n3. 重置Chrome：Chrome→设置→高级→重置设置→还原设置
软件类,1. 检查数据源：确保数据透视表的数据源未被移动或删除\n2. 刷新数据透视表：右键数据透视表→刷新\n3. 重新创建数据透视表：如果问题依旧，删除数据透视表，重新从数据源创建
软件类,1. 检查共享设置：在钉钉直播中确认已勾选共享系统声音\n2. 更新声卡驱动：通过设备管理器更新声卡驱动\n3. 尝试其他共享方式：使用系统自带的屏幕共享功能或其他第三方工具
软件类,1. 清理暂存盘：Photoshop→首选项→性能→暂存盘，选择空间充足的磁盘\n2. 更新Photoshop：确保Photoshop已更新到最新版本\n3. 尝试其他保存格式：将文件保存为PSD等其他格式
软件类,1. 调整CAD图纸比例：在Visio中调整CAD图纸的比例，使其适应页面\n
